,City,Country,Lat,Lng,Coordinate,Hotel Name
0,Vila do Maio,CV,15.13,-23.22,"15.13,-23.22",Forte de São José
1,Kahului,US,20.89,-156.47,"20.89,-156.47",Hawaii Community Foundation
2,Praia,CV,14.92,-23.51,"14.92,-23.51",Atlantico hotelaria e lar Lda
3,Antofagasta,CL,-23.65,-70.4,"-23.65,-70.4",Overmine Ltda.
4,Juchipila,MX,21.42,-103.12,"21.42,-103.12",Unidad Deportiva Juchipila Zacatecas
5,Sittwe,MM,20.15,92.9,"20.15,92.9",ရခိုင်မယ်အိမ်
